Wavelength;A3791_e;A3792_e;A3793_e;A3797_e;A3798_e;A3799_c;A3800_e;A3801_e;A3803_c;A3804_e;A3805_e;A3694_c;A3705_e;A3710_e;A3476_e;A3479_e;A3480_c;A3484_c;A3394_e;A3232_e;A3244_c;A3149_e;A3151_e;A3154_e;A3049_e;A3051_e;A3094_c;A3100_e;A3115_c;A2751;A2752;A2759;A2760;A2761;A2762;A2763;A2764;A2765;A2814;A2543;A2548;A2550;A2554;A2555;A2556;A2561;A2565;A2567;A2568;A2570;A2575;A2605;A2607;A261;A2617;A2619;A2620;A2621;A2622;A2625;A2627;A2643;A2650;A2651
1287;0.034026056;0.044035545;0.123522056;0.07076586;0.090449905;0.112572339;0.112851815;0.134876798;0.20419682;0.104067587;0.040982606;0.509684174;1.099146232;0.877169879;0.098697767;0.07337374;0.034027748;0.045891992;0.412784884;0.096972908;0.076943448;0.217458703;0.095979064;0.055098717;0.181189969;0.060883757;0.284996057;0.05961974;0.063730184;0.047636608;0.01917517;0.060488002;0.093026044;0.077807687;0.05826323;0.032746384;0.024851417;0.025568973;0.090134645;0.159904188;0.046281685;0.199712187;0.09884042;0.036438082;0.031994468;0.032754811;0.040078551;0.1486657;0.062790172;0.297691444;0.137231673;0.100758131;0.075839104;0.067415192;0.093286732;0.046999109;0.05338916;0.046375775;0.077211694;0.039142996;0.524867856;0.175644913;0.135010038;0.049758598
1288;0.033662001;0.043567712;0.121842865;0.069842377;0.089408044;0.111023172;0.111594673;0.133129593;0.202315034;0.102927503;0.04054321;0.503838847;1.085436329;0.867582949;0.097656558;0.07310035;0.033687385;0.045467874;0.409864707;0.095994127;0.076476388;0.214731911;0.095509224;0.054483676;0.179493533;0.060569802;0.282386379;0.059118349;0.063153341;0.047449478;0.018976409;0.059799424;0.092607299;0.077293021;0.057719538;0.032527043;0.024543439;0.02532502;0.089261603;0.159110224;0.045846147;0.197987243;0.098151627;0.036084082;0.031634721;0.032386694;0.039655982;0.146969327;0.062112089;0.297773792;0.136904856;0.099960056;0.07551845;0.06686131;0.092861501;0.046746268;0.053019027;0.046013901;0.076569791;0.038767932;0.524191583;0.175096073;0.133468249;0.049281072
1289;0.033281109;0.04307549;0.120069215;0.068869915;0.088309007;0.109393989;0.110281101;0.131294173;0.200323345;0.101719342;0.040081691;0.49763457;1.07092439;0.857446499;0.09657109;0.072809663;0.033353195;0.045024581;0.406769431;0.094971789;0.07597734;0.211835525;0.095034293;0.053833292;0.177707826;0.060252646;0.279591139;0.058585837;0.062551717;0.047238385;0.01877366;0.059078751;0.092166224;0.076753446;0.057158249;0.032284729;0.024199118;0.025036728;0.088340186;0.158274237;0.045400468;0.196171261;0.09739752;0.035714306;0.031257098;0.031989789;0.039205781;0.145178842;0.061388213;0.297864324;0.136547197;0.099107265;0.075168226;0.066265866;0.092433664;0.046489381;0.052642669;0.045628655;0.075876575;0.038383365;0.523467789;0.174539181;0.131837677;0.048754926
1290;0.032883512;0.042556573;0.118189627;0.06784522;0.087141602;0.107669117;0.108913995;0.129366165;0.198217597;0.100443717;0.039597205;0.491023167;1.055552754;0.846702769;0.095429181;0.072498758;0.033011138;0.044566211;0.403490094;0.093893212;0.075445212;0.208774265;0.094534977;0.053153651;0.17581291;0.059930489;0.276607065;0.058020431;0.061926032;0.047016233;0.018571295;0.058319501;0.091693072;0.076199212;0.056563899;0.032031523;0.02381358;0.024722761;0.08738847;0.157402851;0.044940948;0.19426954;0.096601729;0.035334404;0.030865173;0.031563332;0.038733707;0.143299867;0.060619999;0.297954135;0.136158198;0.098210196;0.074799575;0.065632813;0.091996526;0.046223111;0.052251274;0.045208356;0.075131117;0.038005846;0.522709601;0.173955484;0.130099829;0.048183515
1291;0.032479818;0.042020259;0.116309588;0.066816425;0.085967527;0.105924734;0.107508641;0.127408964;0.196088182;0.099123757;0.039106839;0.484285658;1.039922102;0.835793317;0.094274611;0.072201417;0.032663752;0.044090068;0.400159631;0.092789763;0.074905821;0.205618083;0.094054486;0.052457667;0.173893166;0.059612755;0.273522177;0.05745572;0.061260581;0.046789668;0.018338458;0.057536424;0.091216677;0.075641531;0.055984153;0.03174509;0.023439728;0.024387148;0.086403181;0.156496338;0.044466267;0.192328682;0.095783427;0.034935221;0.030458171;0.03115149;0.038253226;0.14137744;0.059841298;0.298032846;0.135798391;0.097293007;0.074393246;0.064984412;0.091567046;0.045955863;0.051870557;0.044796567;0.074362776;0.037588192;0.521925591;0.173389296;0.128345614;0.047604862
1292;0.032047681;0.04147211;0.114369338;0.065767076;0.084743799;0.104141229;0.106033491;0.125380244;0.193860083;0.097777178;0.038599831;0.477315511;1.023593784;0.824391905;0.093090071;0.07189098;0.03227487;0.043592273;0.396705499;0.091659044;0.074330107;0.202327152;0.093568981;0.051705251;0.171883094;0.059274945;0.270295853;0.05687929;0.060593435;0.0465812;0.018122655;0.056749011;0.090732697;0.075037645;0.055395443;0.031447067;0.023068414;0.024021095;0.085355673;0.155568384;0.043943651;0.190335616;0.094915337;0.034492088;0.030011342;0.030716159;0.037748349;0.139374409;0.059024897;0.298114171;0.135415903;0.096308252;0.073987485;0.064335413;0.091141148;0.045672851;0.051454978;0.04436465;0.073553667;0.03711291;0.521051248;0.172829991;0.126551068;0.047018257
1293;0.031619305;0.040894712;0.112353507;0.064686549;0.08348293;0.102274312;0.104517724;0.123304686;0.191536159;0.096388547;0.038059475;0.470094364;1.006679595;0.812617139;0.091858283;0.071549255;0.031901022;0.043093041;0.393096527;0.090478223;0.07369333;0.198889895;0.093061377;0.050930408;0.169803229;0.058933553;0.266901118;0.056267335;0.059906291;0.046363521;0.017881926;0.055922301;0.090209533;0.074390698;0.054793883;0.031141666;0.0226805;0.023613974;0.084219611;0.154630308;0.043429679;0.188255118;0.093982804;0.034032904;0.029545465;0.030258873;0.037211496;0.137310293;0.058143005;0.298179057;0.134986981;0.095297523;0.07358634;0.063637497;0.090712878;0.045374391;0.051021383;0.043890426;0.072686646;0.036628344;0.520129172;0.172271567;0.124685001;0.046382267
1294;0.031197921;0.040301764;0.110325587;0.063617039;0.082225292;0.100393108;0.102989211;0.121215959;0.189215554;0.094988739;0.037508749;0.4628295;0.989647861;0.800782782;0.090610495;0.07123023;0.03152077;0.04259502;0.389528261;0.08924623;0.073042175;0.195402356;0.092564537;0.050156112;0.16768384;0.05859048;0.26343848;0.055666603;0.059198536;0.046152721;0.017589024;0.055094231;0.089704928;0.073736459;0.054164302;0.030845103;0.022319462;0.023229308;0.083053256;0.153669127;0.042883611;0.186190239;0.093078929;0.033588708;0.029073863;0.029818168;0.036677084;0.135255454;0.057245291;0.298197487;0.134593302;0.094297874;0.073182158;0.062923133;0.090258669;0.045075282;0.050582732;0.043406694;0.071807695;0.036136317;0.519180319;0.171710124;0.122801404;0.045745812
1295;0.030748853;0.039680358;0.108226637;0.062519394;0.080914086;0.098440142;0.101387866;0.119020993;0.186796936;0.093543366;0.036947279;0.455262923;0.971867671;0.788405171;0.08930543;0.070896641;0.03111813;0.042077509;0.385817491;0.087950265;0.072369352;0.191782848;0.092047858;0.049340257;0.165422905;0.058219178;0.259805609;0.055055218;0.058459692;0.045938878;0.017326828;0.05425743;0.089169269;0.073042157;0.053513846;0.03056419;0.021952971;0.022829589;0.081876536;0.152674842;0.042311769;0.184095202;0.092178726;0.033104712;0.028610948;0.029353122;0.03613135;0.133103049;0.056330531;0.298197597;0.134177202;0.09324894;0.072788224;0.062215144;0.089798582;0.044767631;0.050130338;0.042919189;0.07091496;0.035620532;0.518162542;0.171136855;0.120888792;0.045102194
1296;0.030285769;0.039039988;0.106085032;0.061377726;0.079572439;0.096463759;0.099762138;0.116793212;0.184306118;0.092062344;0.036369045;0.447569081;0.953856917;0.775824319;0.087945299;0.070545696;0.030731089;0.041524085;0.382047807;0.086628266;0.071695117;0.188099838;0.091507484;0.048521655;0.163114614;0.05785185;0.25607722;0.054435831;0.057703037;0.045714855;0.017076248;0.053389765;0.08860351;0.0723542;0.052856343;0.030302085;0.021581094;0.022441503;0.080691191;0.151695537;0.041747196;0.18198241;0.091259223;0.032615766;0.028150614;0.028875476;0.0355671;0.130922415;0.055426586;0.29816572;0.133752591;0.092166973;0.072386641;0.061475953;0.089346245;0.044453308;0.049688122;0.042427256;0.06999492;0.035129262;0.517128069;0.170593374;0.118951897;0.044448583
